ein,company_name,n_downshifts,n_establishments_affected,total_employees_affected,avg_dart_delta,worst_dart_delta,years_active,states
541387365,Dollar Tree,1050,1050,23460,-0.3,-0.3,"2021, 2022","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI"
133139732,Tractor Supply Company,647,647,13359,-1.2,-1.2,"2021, 2022, 2023, 2024","AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MN, MO, MS, MT, NC, ND, NE, NJ, NM, OH, OK, PA, SC, SD, TN, VA, WA, WI, WV"
911223280,Costco Wholesale,511,511,157678,-1.12,-1.7,"2021, 2022, 2023","AK, AL, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, SC, SD, TN, TX, UT, VA, VT, WA, WI"
522084569,Builders FirstSource,323,323,12864,-0.48,-1.7,"2021, 2022, 2023","AK, AL, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IN, KS, KY, MA, MD, MI, MN, MS, MT, NC, ND, NJ, NM, NV, NY, OH, OK, OR, SC, SD, TN, TX, UT, VA, WA, WV"
946001347,Facility 100; Facility 104; Facility 109; Facility 11; Facility 112; Facility 113; Facility 114; Facility 117; Facility 12; Facility 120; Facility 123; Facility 124; Facility 126; Facility 127; Facili,282,282,475402,-0.52,-0.6,"2021, 2022",CA
43360747,BJ's,226,226,30128,-1.1,-1.1,"2021, 2022","CT, DE, FL, GA, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, VA"
860221312,O'Reilly Auto Parts,213,213,11847,-0.66,-2.6,"2022, 2023, 2024","AK, AZ, CA, CO, HI, ID, IL, KS, MA, ME, MI, MN, MT, ND, NE, NH, NV, NY, OH, OR, SD, TX, UT, VT, WA, WV"
930798201,Fred Meyer Stores Inc; Quality Food Centers,165,165,38009,-1.91,-2.4,"2022, 2023","AK, ID, OR, WA"
161675916,Gordon Food Service,163,163,3379,-1.2,-1.2,"2022, 2023","AL, FL, IL, IN, KY, MI, MO, NY, OH, PA, TN, TX, WI"
870258768,Fry's Food Stores of Arizona; Smiths Food And Drug,156,156,23520,-1.27,-2.4,"2022, 2023","AZ, ID, MT, NM, NV, UT, WY"
542049910,Advance Auto Parts; Autopart International,141,141,4532,-0.62,-2.4,"2021, 2022, 2023, 2024","AL, AZ, CA, CO, CT, FL, GA, IL, IN, KS, LA, MA, MD, ME, MO, NC, NJ, NV, NY, OH, PA, SC, TN, TX, VA, WI, WV"
440618012,O'Reilly Auto Parts,134,134,4007,-0.5,-0.5,"2022, 2023, 2024","AL, AR, CT, FL, GA, IA, IN, KY, LA, MO, MS, NC, NM, OK, PA, RI, SC, TN, VA, WI"
381274536,Meijer,122,122,30988,-1.0,-1.0,"2021, 2022","MI, OH"
550484692,GO-MART INC,121,121,1286,-1.7,-1.7,"2023, 2024","OH, VA, WI, WV"
621859500,Tractor Supply Company,114,114,2379,-1.2,-1.2,"2022, 2023, 2024",TX
920758772,Tractor Supply Company,108,108,2467,-1.2,-1.2,"2022, 2023, 2024","AZ, CA, CO, HI, ID, NV, OR, UT"
760428728,WorldPac,107,107,3989,-2.5,-2.5,"2021, 2022, 2023","AL, AZ, CA, CO, CT, FL, GA, IL, KY, MA, MD, MI, NC, NJ, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, WA"
560942963,Dollar Tree,104,104,2164,-0.3,-0.3,"2021, 2022","AL, AZ, CA, CT, FL, GA, IL, KY, MD, MI, MN, MO, MS, NC, NJ, NV, NY, OH, OK, PA, TN, TX, VA, WI"
330223829,AC SELF STORAGE ARLINGTON; AC SELF STORAGE COLORADO SPRINGS; AC SELF STORAGE HIRAM; AC SELF STORAGE MISSOURI CITY; AC SELF STORAGE PLANO; ALTA VISTA MINI STORAGE PHOENIX; BUDGET SELF STORAGE LANCASTER,100,100,186,-1.3,-1.3,"2022, 2023","AZ, CA, CO, FL, GA, IL, MA, MD, MN, NC, NY, OR, PA, TN, TX"
383496076,Meijer,95,95,20805,-1.0,-1.0,"2021, 2022","IN, OH, WI"
884210417,Tractor Supply Company,94,94,1835,-1.2,-1.2,"2022, 2023, 2024","CT, MA, ME, NH, NY, RI, VT"
361150280,"W.W. Grainger, Inc.",85,85,6883,-0.7,-0.7,"2023, 2024","AL, AZ, CA, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, WA, WI"
954159373,401; 402; 403; 404; 601; 602; 603; 604; 605; 606; 607; 608; 609; 610; 611; 612; 613; 614; 615; 616; 617; 618; 619; 620; 621; 622; 624; 625; 626; 627; 630; 632; 633; 634; 635; 636; 637; 639; 640; 641; ,83,83,2358,-0.6,-0.6,"2023, 2024","ID, OR, WA"
522208088,Sodexo Inc,81,78,667,-0.96,-2.3,"2021, 2022, 2023, 2024","AL, CA, CO, CT, DC, FL, GA, IN, LA, MA, MD, ME, MI, MS, NC, NH, NJ, NY, OK, PA, PR, TX, VA, WI"
203511076,Florida Autism Center LLC,64,64,1522,-0.7,-0.7,"2023, 2024","FL, GA, NC, TN"
381249848,Gordon Food Service,64,64,9873,-0.6,-1.2,"2022, 2023","AL, DE, FL, GA, IL, IN, KY, MA, MD, MI, MO, NC, OH, PA, SC, TN, TX, WI, WV, WY"
208459997,Philz Coffee Inc,62,62,1137,-0.3,-0.3,"2022, 2023","CA, DC, IL"
822465485,Blue Sprig Pediatrics Inc,52,52,1683,-0.7,-0.7,"2023, 2024","AR, AZ, FL, IL, KY, MO, OH, OK, OR, SC, TN, TX, WA"
621859502,Tractor Supply Company,49,49,927,-1.19,-1.2,"2021, 2022, 2023, 2024",MI
813530904,Prime Now LLC,47,47,8854,-0.2,-0.2,"2022, 2023","CA, CO, FL, GA, IL, IN, MA, MD, MN, NC, NJ, NY, OH, PA, TN, TX, VA, WA, WI"
223410352,"Suburban Propane, LP",46,46,1170,-0.6,-0.6,"2022, 2023","AL, CA, DE, FL, GA, IL, MA, MD, ME, NC, NH, NJ, NY, OH, PA, SC, TN, VA, VT"
886000720,City of Henderson; The City of Henderson,40,30,3895,-1.44,-2.0,"2022, 2023, 2024",NV
210515330,Wawa,38,38,1977,-3.2,-3.2,"2022, 2023","DE, MD, NJ, PA"
