ein,company_name,naics_codes,years_flagged,total_flags,flags_per_year,sectors_seen
710862119,WalMart Stores East LP,445110; 452112; 452910; 452990; 454110,4,21442,5360.5,Retail Trade
522208088,Sodexo  Inc.,561110; 561210; 561439; 561720; 722310; 722320; 811219; 812320,4,19246,4811.5,Accommodation/Food; Admin/Waste Services; Other Services
541387365,Dollar Tree Stores Inc. STORE 00006,452319; 452990; 455219; 493110,4,18817,4704.2,Retail Trade; Transportation
710415188,Walmart Inc,311511; 323111; 333314; 445110; 446110; 452112; 452910; 452990; 454110; 456110; 484121; 493110; 493120; 763102; 811111; 811310; 811490,4,12726,3181.5,Manufacturing; Other Services; Retail Trade; Transportation
560578072,"Lowe's Companies, INC LOWE S OF HADLEY, MA",321911; 423710; 444110; 444190; 493110,4,10310,2577.5,Manufacturing; Retail Trade; Transportation; Wholesale Trade
560942963,Dollar Tree Stores Inc. STORE 20009,452319; 455219; 493110,4,10250,2562.5,Retail Trade; Transportation
770465196,Harbor Freight Tools,444130; 493110; 541380; 561110; 561422,4,8221,2055.2,Admin/Waste Services; Professional Services; Retail Trade; Transportation
561874931,Compass Group NA,454210; 561210; 561720; 722310; 812320,4,8038,2009.5,Accommodation/Food; Admin/Waste Services; Other Services; Retail Trade
522208632,Sodexo Inc,561110; 561210; 561439; 561720; 722310; 812320,4,8033,2008.2,Accommodation/Food; Admin/Waste Services; Other Services
582480149,United Parcel Service Inc,484110; 484121; 488119; 488190; 488510; 492110; 493110; 524298; 541219; 541511; 551114; 561431; 561499; 811111,4,7954,1988.5,Admin/Waste Services; Finance/Insurance; Management; Other Services; Professional Services; Transportation
581853319,The Home Depot,423830; 423850; 444110; 493110,4,6617,1654.2,Retail Trade; Transportation; Wholesale Trade
820544687,Amazon.com Services LLC,323113; 323117; 445110; 445131; 446110; 455219; 492110; 493110,4,6414,1603.5,Manufacturing; Retail Trade; Transportation
853718114,PENNEY OPCO LLC,452112; 493110; 493111; 551114,4,6181,1545.2,Management; Retail Trade; Transportation
590324412,Publix Super Markets Inc,311511; 311612; 311813; 311911; 323111; 445110; 493110; 493120,4,5961,1490.2,Manufacturing; Retail Trade; Transportation
133139732,Tractor Supply Company,444240; 452319; 493110,4,5436,1359.0,Retail Trade; Transportation
160812661,Sodexo  Inc.,561110; 561210; 561720; 722310,4,5069,1267.2,Accommodation/Food; Admin/Waste Services
946001347,"Lottery, California State",221310; 237310; 237311; 237312; 237313; 237314; 237315; 237316; 237317; 237318; 237319; 237320; 237321; 237322; 237323; 237324; 237325; 237326; 237327; 237328; 237329; 237330; 237331; 237332; 237333; 237334; 237335; 237336; 237337; 237338; 237339; 237340; 237341; 237342; 237343; 237344; 237345; 237346; 237347; 237348; 237349; 237350; 237351; 237352; 237353; 237354; 237355; 237356; 237357; 237358; 237359; 237360; 237361; 237362; 237363; 237364; 237365; 237366; 237367; 237368; 237369; 237370; 237371; 237372; 237373; 237374; 237375; 237376; 237377; 237378; 237379; 237380; 237381; 237382; 237383; 237384; 237385; 237386; 237387; 237388; 237389; 237390; 237391; 237392; 237393; 237394; 237395; 237396; 237397; 237398; 237399; 237400; 237401; 237402; 237403; 237404; 237405; 237406; 237407; 237408; 237409; 237411; 237412; 237413; 237418; 237419; 237420; 237421; 237422; 237423; 237424; 237425; 237426; 237427; 237428; 237429; 237430; 237431; 237432; 237433; 237434; 237435; 237436; 237437; 237438; 237439; 237440; 237441; 237442; 237443; 237444; 237445; 237446; 237447; 237448; 237449; 237450; 237451; 237452; 237453; 237454; 237455; 237456; 237457; 237458; 237459; 237460; 237461; 237462; 237463; 237464; 237465; 237466; 237467; 237468; 237469; 237470; 237471; 237472; 237473; 237474; 237475; 237476; 237477; 237478; 237479; 237480; 237481; 237482; 237483; 237484; 237485; 237486; 237487; 237488; 237489; 237490; 237491; 237492; 237493; 237494; 237495; 237496; 237497; 237498; 237499; 237500; 237501; 237502; 237503; 237504; 237505; 237506; 237507; 237509; 237510; 237511; 237513; 237514; 237515; 237516; 237517; 237518; 237519; 237520; 237521; 237522; 237523; 237524; 237525; 237526; 237527; 237528; 237529; 237530; 237531; 237532; 237533; 237534; 237535; 237536; 237537; 237538; 237539; 237540; 237541; 237542; 237543; 237544; 237545; 237546; 237547; 237548; 237549; 237550; 237551; 237552; 237553; 237554; 237555; 237556; 237557; 237558; 237559; 237560; 237561; 237562; 237563; 237564; 237565; 237566; 237567; 237569; 237570; 237571; 237572; 237573; 237574; 237575; 237576; 237577; 237578; 237579; 237580; 237581; 237582; 237583; 237584; 237585; 237586; 237587; 237588; 237589; 237590; 237591; 237592; 237593; 237594; 237595; 237596; 237597; 237598; 237599; 237600; 237601; 237602; 237603; 237604; 237605; 237606; 237607; 237608; 237609; 237610; 237611; 237612; 237613; 237614; 237615; 237616; 237617; 237618; 237619; 237620; 237621; 237622; 237623; 237624; 237625; 237626; 237627; 237628; 237629; 237630; 237631; 237633; 237634; 237635; 237636; 237637; 237638; 237639; 237640; 237641; 237642; 237643; 237644; 237645; 237646; 237649; 237650; 237651; 237652; 237653; 237654; 237655; 237656; 237657; 237658; 237659; 237660; 237661; 237662; 237663; 237664; 237666; 237667; 237668; 237669; 237670; 237671; 237672; 237673; 237674; 237675; 237676; 237677; 237678; 237679; 237680; 237681; 237682; 237683; 237684; 237685; 237686; 237687; 237688; 237689; 237690; 237691; 237692; 237693; 237694; 237695; 237696; 237697; 237698; 237699; 237700; 237701; 237702; 237703; 237704; 237705; 237706; 237707; 237708; 237709; 237710; 237711; 237712; 237713; 237714; 237715; 237716; 237717; 237718; 237719; 237720; 237721; 237723; 237724; 237725; 237730; 237731; 237734; 237735; 237736; 237738; 237739; 237742; 237743; 237745; 237746; 237747; 237748; 237749; 237751; 237752; 237754; 237755; 237756; 237757; 237758; 237759; 237760; 237761; 237762; 237763; 237764; 237765; 237766; 237767; 237768; 237769; 237770; 237771; 237772; 237773; 713290; 921110; 921130; 921190; 922140; 923130; 926150; 928120,4,4968,1242.0,Arts/Entertainment; Construction; Public Administration; Utilities
743019386,WalMart Stores Texas LLC,445110; 452112; 452910; 452990; 454110; 456110,4,3876,969.0,Retail Trade
943019135,Safeway Inc,311511; 311520; 311812; 311999; 312111; 325412; 445110; 446110; 493110,4,3575,893.8,Manufacturing; Retail Trade; Transportation
430398035,Macys,442110; 452111; 452210; 493110,4,3237,809.2,Retail Trade; Transportation
