sector,mean_rank,mean_rate,consistency,rate_2021,rank_2021,rate_2022,rank_2022,rate_2023,rank_2023,rate_2024,rank_2024,spearman_rho
Retail Trade (44-45),1.2,1.0414,Very Stable,1.0516,2,1.0769,1,1.0341,1,1.0031,1,-0.500
Accommodation/Food,2.8,0.7925,Very Stable,0.7772,4,0.8200,3,0.8105,2,0.7624,2,-0.500
Public Administration,3.8,0.7465,Very Stable,0.7784,3,0.7244,5,0.7314,4,0.7519,3,-0.500
Information,4.0,0.8270,Moderate,1.0986,1,0.8385,2,0.7860,3,0.5850,10,-2.600
Utilities,5.2,0.7277,Stable,0.7307,7,0.7386,4,0.7222,5,0.7193,5,-3.500
Admin/Waste Services,7.5,0.6771,Stable,0.7292,8,0.6897,6,0.6766,7,0.6130,9,-9.600
Other Services,7.5,0.6886,Stable,0.7337,6,0.6278,11,0.6814,6,0.7116,7,-11.400
Professional Services,8.2,0.6588,Moderate,0.6482,10,0.6698,8,0.5915,11,0.7258,4,-17.100
Mining,8.8,0.6446,Moderate,0.7342,5,0.6614,9,0.6017,10,0.5812,11,-15.300
Education,9.0,0.6510,Very Stable,0.6697,9,0.6358,10,0.6479,9,0.6509,8,-17.000
Management,9.2,0.6473,Moderate,0.5220,16,0.6802,7,0.6728,8,0.7144,6,-26.900
Manufacturing (31-33),12.8,0.5419,Stable,0.5720,11,0.5476,12,0.5261,14,0.5218,14,-41.100
Wholesale Trade,13.8,0.5420,Stable,0.5561,13,0.5267,16,0.5434,13,0.5419,13,-51.100
Arts/Entertainment,14.2,0.5328,Stable,0.5498,14,0.5383,14,0.5456,12,0.4974,17,-55.300
Transportation (48-49),14.5,0.5254,Stable,0.5581,12,0.5270,15,0.5175,15,0.4989,16,-56.800
Health Care,16.2,0.5103,Very Stable,0.4976,17,0.5212,17,0.5083,16,0.5142,15,-76.100
Agriculture,16.8,0.4875,Moderate,0.4230,19,0.5401,13,0.4907,17,0.4959,18,-82.700
Real Estate,16.8,0.4799,Moderate,0.5391,15,0.3932,20,0.4313,20,0.5562,12,-86.300
Construction,18.5,0.4701,Very Stable,0.4907,18,0.4827,18,0.4544,19,0.4526,19,-101.600
Finance/Insurance,19.2,0.4382,Very Stable,0.3678,20,0.4688,19,0.4683,18,0.4477,20,-112.100
