reported_sector,suggested_sector,reported_desc,suggested_desc,reported_rate,suggested_rate,rate_delta,direction,n_establishments,total_employees,total_annual_loss,avg_loss_per_establishment
23,54,Construction/Carpentry,Professional Services,11.61,0.21,-11.40,OVERPAYING,490,804854,6842965290.48,13965235.29
49,62,Warehousing,Healthcare/Physicians,7.18,0.94,-6.24,OVERPAYING,561,685746,3191319248.83,5688626.11
23,92,Construction/Carpentry,Public Administration,11.61,0.36,-11.25,OVERPAYING,93,210203,1763655720.75,18964040.01
49,51,Warehousing,Information/Tech,7.18,0.42,-6.76,OVERPAYING,325,275749,1390218364.39,4277594.97
45,51,Retail/General Merch,Information/Tech,2.74,0.42,-2.32,OVERPAYING,2530,771570,1335013621.92,527673.37
45,62,Retail/General Merch,Healthcare/Physicians,2.74,0.94,-1.80,OVERPAYING,3665,937539,1258589855.16,343407.87
23,51,Construction/Carpentry,Information/Tech,11.61,0.42,-11.19,OVERPAYING,135,127678,1065537004.36,7892866.70
33,54,Metal/Electronics Mfg,Professional Services,4.87,0.21,-4.66,OVERPAYING,151,171963,597645025.16,3957914.07
48,51,Transportation/Trucking,Information/Tech,7.88,0.42,-7.46,OVERPAYING,182,80573,448281421.76,2463084.73
23,81,Construction/Carpentry,Other Services,11.61,1.73,-9.88,OVERPAYING,56,60612,446619764.45,7975352.94
23,44,Construction/Carpentry,Retail/Grocery,11.61,3.99,-7.62,OVERPAYING,28,60970,346492266.12,12374723.79
33,92,Metal/Electronics Mfg,Public Administration,4.87,0.36,-4.51,OVERPAYING,112,101708,342100757.06,3054471.05
33,51,Metal/Electronics Mfg,Information/Tech,4.87,0.42,-4.45,OVERPAYING,130,99224,329305603.44,2533120.03
54,48,Professional Services,Transportation/Trucking,0.21,7.88,7.67,UNDERPAYING,15,56847,325181098.24,21678739.88
42,54,Wholesale Trade,Professional Services,4.56,0.21,-4.35,OVERPAYING,405,97848,317441417.04,783805.97
62,33,Healthcare/Physicians,Metal/Electronics Mfg,0.94,4.87,3.93,UNDERPAYING,40,106447,311995518.32,7799887.96
31,54,Manufacturing/Forging,Professional Services,6.31,0.21,-6.10,OVERPAYING,39,67977,309253204.26,7929569.34
23,52,Construction/Carpentry,Finance/Insurance,11.61,0.21,-11.40,OVERPAYING,36,35740,303865768.80,8440715.80
45,23,Retail/General Merch,Construction/Carpentry,2.74,11.61,8.87,UNDERPAYING,607,45243,299293574.78,493070.14
32,23,Plastics/Chemical Mfg,Construction/Carpentry,5.24,11.61,6.37,UNDERPAYING,95,60515,287491394.19,3026225.20
42,92,Wholesale Trade,Public Administration,4.56,0.36,-4.20,OVERPAYING,117,88250,276430770.00,2362656.15
32,62,Plastics/Chemical Mfg,Healthcare/Physicians,5.24,0.94,-4.30,OVERPAYING,65,82838,265656495.72,4087023.01
23,61,Construction/Carpentry,Education,11.61,0.64,-10.97,OVERPAYING,49,28112,229996247.71,4693800.97
62,56,Healthcare/Physicians,Admin/Waste Services,0.94,3.82,2.88,UNDERPAYING,349,104310,224047866.24,641970.96
44,92,Retail/Grocery,Public Administration,3.99,0.36,-3.63,OVERPAYING,249,78452,212389490.81,852969.84
